R,i25a,i25b,i25c,ira,irb,irc,isa,isb,isc,v25a,v25b,v25c,pg,qg,pr,qr,ps,CLASE_FALLA
-1.035291980097691,-0.3460003274555208,-0.42415223139730834,-0.3495355402548794,-0.2579665500543024,-0.31659653129758925,-0.28978867374231326,0.21323110682283475,-0.1909461813826989,-0.3462979818065511,-0.2888946895078178,-0.3425415946005026,-0.5490776160265102,-0.37342220432033,-0.35825137825754066,-0.02365575224838264,-0.15381037401073366,-0.12758550593687015,1
-1.0352617891674596,-0.3460003274555208,-0.42415223139730834,-0.3495355402548794,-0.2579665500543024,-0.31659653129758925,-0.28978867374231326,0.21323110682283475,-0.1909461813826989,-0.3462979818065511,-0.2888946895078178,-0.3425415946005026,-0.5490776160265102,-0.37342220432033,-0.35825137825754066,-0.02365575224838264,-0.15381037401073366,-0.12758550593687015,1
-1.0352014073069964,-0.3460003274555208,-0.42415223139730834,-0.3495355402548794,-0.2579665500543024,-0.31659653129758925,-0.28978867374231326,0.21323110682283475,-0.1909461813826989,-0.3462979818065511,-0.2888946895078178,-0.3425415946005026,-0.5490776160265102,-0.37342220432033,-0.35825137825754066,-0.02365575224838264,-0.15381037401073366,-0.12758550593687015,1
-1.0351410254465336,-0.3460003274555208,-0.42415223139730834,-0.3495355402548794,-0.2579665500543024,-0.31659653129758925,-0.28978867374231326,0.21323110682283475,-0.1909461813826989,-0.3462979818065511,-0.2888946895078178,-0.3425415946005026,-0.5490776160265102,-0.37342220432033,-0.35825137825754066,-0.02365575224838264,-0.15381037401073366,-0.12758550593687015,1
-1.0350806435860707,-0.3460003274555208,-0.42415223139730834,-0.3495355402548794,-0.2579665500543024,-0.31659653129758925,-0.28978867374231326,0.21323110682283475,-0.1909461813826989,-0.3462979818065511,-0.2888946895078178,-0.3425415946005026,-0.5490776160265102,-0.37342220432033,-0.35825137825754066,-0.02365575224838264,-0.15381037401073366,-0.12758550593687015,1
-1.0350202617256075,-0.3460003274555208,-0.42415223139730834,-0.3495355402548794,-0.2579665500543024,-0.31659653129758925,-0.28978867374231326,0.21323110682283475,-0.1909461813826989,-0.3462979818065511,-0.2888946895078178,-0.3425415946005026,-0.5490776160265102,-0.37342220432033,-0.35825137825754066,-0.02365575224838264,-0.15381037401073366,-0.12758550593687015,1
-1.0349598798651445,-0.3460003274555208,-0.42415223139730834,-0.3495355402548794,-0.2579665500543024,-0.31659653129758925,-0.28978867374231326,0.21323110682283475,-0.1909461813826989,-0.3462979818065511,-0.2888946895078178,-0.3425415946005026,-0.5490776160265102,-0.37342220432033,-0.35825137825754066,-0.02365575224838264,-0.15381037401073366,-0.12758550593687015,1
-1.0348994980046817,-0.3460003274555208,-0.42415223139730834,-0.3495355402548794,-0.2579665500543024,-0.31659653129758925,-0.28978867374231326,0.21323110682283475,-0.1909461813826989,-0.3462979818065511,-0.2888946895078178,-0.3425415946005026,-0.5490776160265102,-0.37342220432033,-0.35825137825754066,-0.02365575224838264,-0.15381037401073366,-0.12758550593687015,1
-1.0348391161442185,-0.3460003274555208,-0.42415223139730834,-0.3495355402548794,-0.2579665500543024,-0.31659653129758925,-0.28978867374231326,0.21323110682283475,-0.1909461813826989,-0.3462979818065511,-0.2888946895078178,-0.3425415946005026,-0.5490776160265102,-0.37342220432033,-0.35825137825754066,-0.02365575224838264,-0.15381037401073366,-0.12758550593687015,1
-1.0347787342837556,-0.3460003274555208,-0.42415223139730834,-0.3495355402548794,-0.2579665500543024,-0.31659653129758925,-0.28978867374231326,0.21323110682283475,-0.1909461813826989,-0.3462979818065511,-0.2888946895078178,-0.3425415946005026,-0.5490776160265102,-0.37342220432033,-0.35825137825754066,-0.02365575224838264,-0.15381037401073366,-0.12758550593687015,1
